accession,dataset,row_id:ID(Protein),:LABEL
B1ARW8,UP000005640_9606,1901,Protein
B1ARY8,UP000005640_9606,1902,Protein
B1AS29,UP000005640_9606,1903,Protein
B1AS42,UP000005640_9606,1904,Protein
B1ASA5,UP000005640_9606,1905,Protein
B1ASB3,UP000005640_9606,1906,Protein
B1ASB6,UP000005640_9606,1907,Protein
B1ASD8,UP000005640_9606,1908,Protein
B1ASQ7,UP000005640_9606,1909,Protein
B1ASY6,UP000005640_9606,1910,Protein
B1AT01,UP000005640_9606,1911,Protein
B1AT66,UP000005640_9606,1912,Protein
B1ATG9,UP000005640_9606,1913,Protein
B1ATX6,UP000005640_9606,1914,Protein
B1ATY8,UP000005640_9606,1915,Protein
B1AUC4,UP000005640_9606,1916,Protein
B1AUC7,UP000005640_9606,1917,Protein
B1AUE5,UP000005640_9606,1918,Protein
B1AUF7,UP000005640_9606,1919,Protein
B1AUH1,UP000005640_9606,1920,Protein
B1AUN2,UP000005640_9606,1921,Protein
B1AUR6,UP000005640_9606,1922,Protein
B1AUS6,UP000005640_9606,1923,Protein
B1AUS7,UP000005640_9606,1924,Protein
B1AUV4,UP000005640_9606,1925,Protein
B1AUV6,UP000005640_9606,1926,Protein
B1AUV7,UP000005640_9606,1927,Protein
B1AUY3,UP000005640_9606,1928,Protein
B1AV09,UP000005640_9606,1929,Protein
B1AVB3,UP000005640_9606,1930,Protein
B1AVD1,UP000005640_9606,1931,Protein
B1AVH7,UP000005640_9606,1932,Protein
B1AVK5,UP000005640_9606,1933,Protein
B1AVM1,UP000005640_9606,1934,Protein
B1AVN5,UP000005640_9606,1935,Protein
B1AVP0,UP000005640_9606,1936,Protein
B1AVU4,UP000005640_9606,1937,Protein
B1AVU5,UP000005640_9606,1938,Protein
B1AVU6,UP000005640_9606,1939,Protein
B1AVU7,UP000005640_9606,1940,Protein
B1AVY7,UP000005640_9606,1941,Protein
B1AVZ0,UP000005640_9606,1942,Protein
B1AVZ5,UP000005640_9606,1943,Protein
B1AW18,UP000005640_9606,1944,Protein
B1AWC9,UP000005640_9606,1945,Protein
B1AWG4,UP000005640_9606,1946,Protein
B1AWI6,UP000005640_9606,1947,Protein
B1AWJ5,UP000005640_9606,1948,Protein
B1AWL2,UP000005640_9606,1949,Protein
B1AWN4,UP000005640_9606,1950,Protein
B1AWN6,UP000005640_9606,1951,Protein
B1AWN9,UP000005640_9606,1952,Protein
B1AWZ3,UP000005640_9606,1953,Protein
B1AX30,UP000005640_9606,1954,Protein
B1AX35,UP000005640_9606,1955,Protein
B1AX39,UP000005640_9606,1956,Protein
B1AX85,UP000005640_9606,1957,Protein
B1AXB9,UP000005640_9606,1958,Protein
B1AXD8,UP000005640_9606,1959,Protein
B1AXH1,UP000005640_9606,1960,Protein
B1AXP3,UP000005640_9606,1961,Protein
B1AXP6,UP000005640_9606,1962,Protein
B1AXV0,UP000005640_9606,1963,Protein
B1AY10,UP000005640_9606,1964,Protein
B1AY13,UP000005640_9606,1965,Protein
B1AY15,UP000005640_9606,1966,Protein
B1AY40,UP000005640_9606,1967,Protein
B1AY64,UP000005640_9606,1968,Protein
B1AYB6,UP000005640_9606,1969,Protein
B1AYH9,UP000005640_9606,1970,Protein
B1AYI3,UP000005640_9606,1971,Protein
B1AYI8,UP000005640_9606,1972,Protein
B1AYL1,UP000005640_9606,1973,Protein
B1AYM9,UP000005640_9606,1974,Protein
B1AYN9,UP000005640_9606,1975,Protein
B1AZ99,UP000005640_9606,1976,Protein
B1AZA0,UP000005640_9606,1977,Protein
B1AZA5,UP000005640_9606,1978,Protein
B1AZI6,UP000005640_9606,1979,Protein
B1AZM2,UP000005640_9606,1980,Protein
B1AZM5,UP000005640_9606,1981,Protein
B1AZP2,UP000005640_9606,1982,Protein
B1AZQ8,UP000005640_9606,1983,Protein
B1AZR0,UP000005640_9606,1984,Protein
B1B034,UP000005640_9606,1985,Protein
B1B0N6,UP000005640_9606,1986,Protein
B1B0R1,UP000005640_9606,1987,Protein
B1B0R2,UP000005640_9606,1988,Protein
B1B0V2,UP000005640_9606,1989,Protein
B1B0X0,UP000005640_9606,1990,Protein
B1B0X6,UP000005640_9606,1991,Protein
B1B1A0,UP000005640_9606,1992,Protein
B1B1D3,UP000005640_9606,1993,Protein
B1B212,UP000005640_9606,1994,Protein
B1B213,UP000005640_9606,1995,Protein
B2B9E1,UP000005640_9606,1996,Protein
B2KF05,UP000005640_9606,1997,Protein
B2KF50,UP000005640_9606,1998,Protein
B2KFW1,UP000005640_9606,1999,Protein
B2KG20,UP000005640_9606,2000,Protein
B2KGE5,UP000005640_9606,2001,Protein
B2RPU2,UP000005640_9606,2002,Protein
B2RPU8,UP000005640_9606,2003,Protein
B2RPV6,UP000005640_9606,2004,Protein
B2RPY5,UP000005640_9606,2005,Protein
B2RQA1,UP000005640_9606,2006,Protein
B2RQC2,UP000005640_9606,2007,Protein
B2RQC6,UP000005640_9606,2008,Protein
B2RQE8,UP000005640_9606,2009,Protein
B2RQG2,UP000005640_9606,2010,Protein
B2RQL2,UP000005640_9606,2011,Protein
B2RQT2,UP000005640_9606,2012,Protein
B2RQY6,UP000005640_9606,2013,Protein
B2RR83,UP000005640_9606,2014,Protein
B2RR88,UP000005640_9606,2015,Protein
B2RRA8,UP000005640_9606,2016,Protein
B2RRD7,UP000005640_9606,2017,Protein
B2RRE4,UP000005640_9606,2018,Protein
B2RRE7,UP000005640_9606,2019,Protein
B2RRF6,UP000005640_9606,2020,Protein
B2RRL2,UP000005640_9606,2021,Protein
B2RS76,UP000005640_9606,2022,Protein
B2RS91,UP000005640_9606,2023,Protein
B2RSG7,UP000005640_9606,2024,Protein
B2RSH2,UP000005640_9606,2025,Protein
B2RSY5,UP000005640_9606,2026,Protein
B2RT14,UP000005640_9606,2027,Protein
B2RT27,UP000005640_9606,2028,Protein
B2RT33,UP000005640_9606,2029,Protein
B2RT41,UP000005640_9606,2030,Protein
B2RT54,UP000005640_9606,2031,Protein
B2RT89,UP000005640_9606,2032,Protein
B2RTN2,UP000005640_9606,2033,Protein
B2RTN3,UP000005640_9606,2034,Protein
B2RU40,UP000005640_9606,2035,Protein
B2RU80,UP000005640_9606,2036,Protein
B2RUD9,UP000005640_9606,2037,Protein
B2RUI1,UP000005640_9606,2038,Protein
B2RUJ5,UP000005640_9606,2039,Protein
B2RUK9,UP000005640_9606,2040,Protein
B2RUP2,UP000005640_9606,2041,Protein
B2RUQ2,UP000005640_9606,2042,Protein
B2RUR4,UP000005640_9606,2043,Protein
B2RUR8,UP000005640_9606,2044,Protein
B2RUS7,UP000005640_9606,2045,Protein
B2RV38,UP000005640_9606,2046,Protein
B2RV46,UP000005640_9606,2047,Protein
B2RV77,UP000005640_9606,2048,Protein
B2RVA4,UP000005640_9606,2049,Protein
B2RVB7,UP000005640_9606,2050,Protein
B2RVB9,UP000005640_9606,2051,Protein
B2RVE2,UP000005640_9606,2052,Protein
B2RVI8,UP000005640_9606,2053,Protein
B2RVL1,UP000005640_9606,2054,Protein
B2RVL6,UP000005640_9606,2055,Protein
B2RVL9,UP000005640_9606,2056,Protein
B2RVW2,UP000005640_9606,2057,Protein
B2RVX8,UP000005640_9606,2058,Protein
B2RVY8,UP000005640_9606,2059,Protein
B2RVY9,UP000005640_9606,2060,Protein
B2RVZ0,UP000005640_9606,2061,Protein
B2RVZ1,UP000005640_9606,2062,Protein
B2RW11,UP000005640_9606,2063,Protein
B2RW27,UP000005640_9606,2064,Protein
B2RW38,UP000005640_9606,2065,Protein
B2RW88,UP000005640_9606,2066,Protein
B2RWC4,UP000005640_9606,2067,Protein
B2RWD2,UP000005640_9606,2068,Protein
B2RWG3,UP000005640_9606,2069,Protein
B2RWH8,UP000005640_9606,2070,Protein
B2RWJ3,UP000005640_9606,2071,Protein
B2RWK3,UP000005640_9606,2072,Protein
B2RWR6,UP000005640_9606,2073,Protein
B2RWS6,UP000005640_9606,2074,Protein
B2RWW0,UP000005640_9606,2075,Protein
B2RX12,UP000005640_9606,2076,Protein
B2RX14,UP000005640_9606,2077,Protein
B2RX31,UP000005640_9606,2078,Protein
B2RX70,UP000005640_9606,2079,Protein
B2RX82,UP000005640_9606,2080,Protein
B2RX88,UP000005640_9606,2081,Protein
B2RXA1,UP000005640_9606,2082,Protein
B2RXA7,UP000005640_9606,2083,Protein
B2RXA8,UP000005640_9606,2084,Protein
B2RXB0,UP000005640_9606,2085,Protein
B2RXB2,UP000005640_9606,2086,Protein
B2RXC1,UP000005640_9606,2087,Protein
B2RXC2,UP000005640_9606,2088,Protein
B2RXC5,UP000005640_9606,2089,Protein
B2RXC6,UP000005640_9606,2090,Protein
B2RXC8,UP000005640_9606,2091,Protein
B2RXE2,UP000005640_9606,2092,Protein
B2RXM4,UP000005640_9606,2093,Protein
B2RXM5,UP000005640_9606,2094,Protein
B2RXM6,UP000005640_9606,2095,Protein
B2RXQ2,UP000005640_9606,2096,Protein
B2RXR6,UP000005640_9606,2097,Protein
B2RXS3,UP000005640_9606,2098,Protein
B2RXS4,UP000005640_9606,2099,Protein
B2RXT3,UP000005640_9606,2100,Protein
B2RXV4,UP000005640_9606,2101,Protein
B2RXZ1,UP000005640_9606,2102,Protein
B2RXZ2,UP000005640_9606,2103,Protein
B2RY04,UP000005640_9606,2104,Protein
B2RY50,UP000005640_9606,2105,Protein
B2RY52,UP000005640_9606,2106,Protein
B2RY53,UP000005640_9606,2107,Protein
B2RY56,UP000005640_9606,2108,Protein
B2RY71,UP000005640_9606,2109,Protein
B2RY83,UP000005640_9606,2110,Protein
B3F5L4,UP000005640_9606,2111,Protein
B3GLJ3,UP000005640_9606,2112,Protein
B3GLJ4,UP000005640_9606,2113,Protein
B3GLJ5,UP000005640_9606,2114,Protein
B3GLJ6,UP000005640_9606,2115,Protein
B4XVP9,UP000005640_9606,2116,Protein
B4XVQ1,UP000005640_9606,2117,Protein
B5KM66,UP000005640_9606,2118,Protein
B5TVM2,UP000005640_9606,2119,Protein
B5X0E4,UP000005640_9606,2120,Protein
B5X0G2,UP000005640_9606,2121,Protein
B6A8R8,UP000005640_9606,2122,Protein
B7XG49,UP000005640_9606,2123,Protein
B7ZC55,UP000005640_9606,2124,Protein
B7ZCC9,UP000005640_9606,2125,Protein
B7ZMP1,UP000005640_9606,2126,Protein
B7ZMQ6,UP000005640_9606,2127,Protein
B7ZNG0,UP000005640_9606,2128,Protein
B7ZNG4,UP000005640_9606,2129,Protein
B7ZNL9,UP000005640_9606,2130,Protein
B7ZP21,UP000005640_9606,2131,Protein
B7ZWD6,UP000005640_9606,2132,Protein
B7ZWI3,UP000005640_9606,2133,Protein
B7ZWJ3,UP000005640_9606,2134,Protein
B7ZWJ5,UP000005640_9606,2135,Protein
B7ZWN4,UP000005640_9606,2136,Protein
B8JJ69,UP000005640_9606,2137,Protein
B8JJA7,UP000005640_9606,2138,Protein
B8JJD3,UP000005640_9606,2139,Protein
B8JJX8,UP000005640_9606,2140,Protein
B8JJZ4,UP000005640_9606,2141,Protein
B8JJZ7,UP000005640_9606,2142,Protein
B8JJZ9,UP000005640_9606,2143,Protein
B8JK39,UP000005640_9606,2144,Protein
B8JKF6,UP000005640_9606,2145,Protein
B8JKV0,UP000005640_9606,2146,Protein
B8ZXI1,UP000005640_9606,2147,Protein
B9EHE6,UP000005640_9606,2148,Protein
B9EHI3,UP000005640_9606,2149,Protein
B9EHT4,UP000005640_9606,2150,Protein
B9EJ54,UP000005640_9606,2151,Protein
B9EJ57,UP000005640_9606,2152,Protein
B9EJ80,UP000005640_9606,2153,Protein
B9EJ86,UP000005640_9606,2154,Protein
B9EJA2,UP000005640_9606,2155,Protein
B9EJI9,UP000005640_9606,2156,Protein
B9EJL3,UP000005640_9606,2157,Protein
B9EJP6,UP000005640_9606,2158,Protein
B9EJP9,UP000005640_9606,2159,Protein
B9EJQ9,UP000005640_9606,2160,Protein
B9EJR8,UP000005640_9606,2161,Protein
B9EJV3,UP000005640_9606,2162,Protein
B9EJW5,UP000005640_9606,2163,Protein
B9EJX2,UP000005640_9606,2164,Protein
B9EJX3,UP000005640_9606,2165,Protein
B9EK06,UP000005640_9606,2166,Protein
B9EK86,UP000005640_9606,2167,Protein
B9EKE5,UP000005640_9606,2168,Protein
B9EKF4,UP000005640_9606,2169,Protein
B9EKH0,UP000005640_9606,2170,Protein
B9EKI3,UP000005640_9606,2171,Protein
B9EKK6,UP000005640_9606,2172,Protein
B9EKR1,UP000005640_9606,2173,Protein
B9EKX1,UP000005640_9606,2174,Protein
B9UIU9,UP000005640_9606,2175,Protein
C0HK79,UP000005640_9606,2176,Protein
C0HK80,UP000005640_9606,2177,Protein
C0HKC8,UP000005640_9606,2178,Protein
C0HKC9,UP000005640_9606,2179,Protein
C0HKD1,UP000005640_9606,2180,Protein
C0HKD2,UP000005640_9606,2181,Protein
C0HKD3,UP000005640_9606,2182,Protein
C0HKD8,UP000005640_9606,2183,Protein
C0HKD9,UP000005640_9606,2184,Protein
C0HKE1,UP000005640_9606,2185,Protein
C0HKE2,UP000005640_9606,2186,Protein
C0HKE3,UP000005640_9606,2187,Protein
C0HKE4,UP000005640_9606,2188,Protein
C0HKE5,UP000005640_9606,2189,Protein
C0HKE6,UP000005640_9606,2190,Protein
C0HKE7,UP000005640_9606,2191,Protein
C0HKE8,UP000005640_9606,2192,Protein
C0HKE9,UP000005640_9606,2193,Protein
C0HKG5,UP000005640_9606,2194,Protein
C0HKG6,UP000005640_9606,2195,Protein
C0HLV9,UP000005640_9606,2196,Protein
C0LLJ0,UP000005640_9606,2197,Protein
C3VD30,UP000005640_9606,2198,Protein
C3VPR6,UP000005640_9606,2199,Protein
C4P6S0,UP000005640_9606,2200,Protein
C6KI89,UP000005640_9606,2201,Protein
C8YR32,UP000005640_9606,2202,Protein
D0G895,UP000005640_9606,2203,Protein
D0QMC3,UP000005640_9606,2204,Protein
D0VYS2,UP000005640_9606,2205,Protein
D2EAC2,UP000005640_9606,2206,Protein
D2J0Y4,UP000005640_9606,2207,Protein
D2XZ31,UP000005640_9606,2208,Protein
D2XZ38,UP000005640_9606,2209,Protein
D3KU66,UP000005640_9606,2210,Protein
D3YTM9,UP000005640_9606,2211,Protein
D3YTP3,UP000005640_9606,2212,Protein
D3YTS9,UP000005640_9606,2213,Protein
D3YTW8,UP000005640_9606,2214,Protein
D3YTX4,UP000005640_9606,2215,Protein
D3YTX5,UP000005640_9606,2216,Protein
D3YTY1,UP000005640_9606,2217,Protein
D3YTY2,UP000005640_9606,2218,Protein
D3YU32,UP000005640_9606,2219,Protein
D3YU55,UP000005640_9606,2220,Protein
D3YU81,UP000005640_9606,2221,Protein
D3YUB6,UP000005640_9606,2222,Protein
D3YUE4,UP000005640_9606,2223,Protein
D3YUG0,UP000005640_9606,2224,Protein
D3YUI0,UP000005640_9606,2225,Protein
D3YUJ3,UP000005640_9606,2226,Protein
D3YUJ6,UP000005640_9606,2227,Protein
D3YUK0,UP000005640_9606,2228,Protein
D3YUK6,UP000005640_9606,2229,Protein
D3YUK8,UP000005640_9606,2230,Protein
D3YUP5,UP000005640_9606,2231,Protein
D3YUU5,UP000005640_9606,2232,Protein
D3YUU6,UP000005640_9606,2233,Protein
D3YV10,UP000005640_9606,2234,Protein
D3YV92,UP000005640_9606,2235,Protein
D3YV94,UP000005640_9606,2236,Protein
D3YVE8,UP000005640_9606,2237,Protein
D3YVF0,UP000005640_9606,2238,Protein
D3YVI9,UP000005640_9606,2239,Protein
D3YVJ1,UP000005640_9606,2240,Protein
D3YVL2,UP000005640_9606,2241,Protein
D3YVV3,UP000005640_9606,2242,Protein
D3YVV6,UP000005640_9606,2243,Protein
D3YW29,UP000005640_9606,2244,Protein
D3YWB7,UP000005640_9606,2245,Protein
D3YWC7,UP000005640_9606,2246,Protein
D3YWE3,UP000005640_9606,2247,Protein
D3YWE6,UP000005640_9606,2248,Protein
D3YWJ0,UP000005640_9606,2249,Protein
D3YWK9,UP000005640_9606,2250,Protein
D3YWP0,UP000005640_9606,2251,Protein
D3YWQ0,UP000005640_9606,2252,Protein
D3YWQ9,UP000005640_9606,2253,Protein
D3YWT1,UP000005640_9606,2254,Protein
D3YWX3,UP000005640_9606,2255,Protein
D3YWX5,UP000005640_9606,2256,Protein
D3YX02,UP000005640_9606,2257,Protein
D3YX03,UP000005640_9606,2258,Protein
D3YX18,UP000005640_9606,2259,Protein
D3YX25,UP000005640_9606,2260,Protein
D3YX29,UP000005640_9606,2261,Protein
D3YX43,UP000005640_9606,2262,Protein
D3YX67,UP000005640_9606,2263,Protein
D3YX90,UP000005640_9606,2264,Protein
D3YXE9,UP000005640_9606,2265,Protein
D3YXF5,UP000005640_9606,2266,Protein
D3YXG0,UP000005640_9606,2267,Protein
D3YXI8,UP000005640_9606,2268,Protein
D3YXJ0,UP000005640_9606,2269,Protein
D3YXJ5,UP000005640_9606,2270,Protein
D3YXJ9,UP000005640_9606,2271,Protein
D3YXK0,UP000005640_9606,2272,Protein
D3YXK1,UP000005640_9606,2273,Protein
D3YXK2,UP000005640_9606,2274,Protein
D3YXL0,UP000005640_9606,2275,Protein
D3YXS5,UP000005640_9606,2276,Protein
D3YY23,UP000005640_9606,2277,Protein
D3YY49,UP000005640_9606,2278,Protein
D3YY91,UP000005640_9606,2279,Protein
D3YYH9,UP000005640_9606,2280,Protein
D3YYI7,UP000005640_9606,2281,Protein
D3YYI9,UP000005640_9606,2282,Protein
D3YYJ7,UP000005640_9606,2283,Protein
D3YYM0,UP000005640_9606,2284,Protein
D3YYM4,UP000005640_9606,2285,Protein
D3YYU8,UP000005640_9606,2286,Protein
D3YYY1,UP000005640_9606,2287,Protein
D3YYY8,UP000005640_9606,2288,Protein
D3YYZ0,UP000005640_9606,2289,Protein
D3YYZ1,UP000005640_9606,2290,Protein
D3YZB0,UP000005640_9606,2291,Protein
D3YZF6,UP000005640_9606,2292,Protein
D3YZF7,UP000005640_9606,2293,Protein
D3YZG3,UP000005640_9606,2294,Protein
D3YZG8,UP000005640_9606,2295,Protein
D3YZI9,UP000005640_9606,2296,Protein
D3YZP9,UP000005640_9606,2297,Protein
D3YZU1,UP000005640_9606,2298,Protein
D3YZV8,UP000005640_9606,2299,Protein
D3YZZ2,UP000005640_9606,2300,Protein
D3YZZ5,UP000005640_9606,2301,Protein
D3Z070,UP000005640_9606,2302,Protein
D3Z0J0,UP000005640_9606,2303,Protein
D3Z0K6,UP000005640_9606,2304,Protein
D3Z0M9,UP000005640_9606,2305,Protein
D3Z0P8,UP000005640_9606,2306,Protein
D3Z0R2,UP000005640_9606,2307,Protein
D3Z0W3,UP000005640_9606,2308,Protein
D3Z0W7,UP000005640_9606,2309,Protein
D3Z120,UP000005640_9606,2310,Protein
D3Z167,UP000005640_9606,2311,Protein
D3Z1A5,UP000005640_9606,2312,Protein
D3Z1D3,UP000005640_9606,2313,Protein
D3Z1P8,UP000005640_9606,2314,Protein
D3Z1Q2,UP000005640_9606,2315,Protein
D3Z1U7,UP000005640_9606,2316,Protein
D3Z1V9,UP000005640_9606,2317,Protein
D3Z1W5,UP000005640_9606,2318,Protein
D3Z1Y0,UP000005640_9606,2319,Protein
D3Z235,UP000005640_9606,2320,Protein
D3Z236,UP000005640_9606,2321,Protein
D3Z257,UP000005640_9606,2322,Protein
D3Z286,UP000005640_9606,2323,Protein
D3Z291,UP000005640_9606,2324,Protein
D3Z298,UP000005640_9606,2325,Protein
D3Z2H9,UP000005640_9606,2326,Protein
D3Z2R5,UP000005640_9606,2327,Protein
D3Z2T8,UP000005640_9606,2328,Protein
D3Z2W7,UP000005640_9606,2329,Protein
D3Z2X2,UP000005640_9606,2330,Protein
D3Z338,UP000005640_9606,2331,Protein
D3Z347,UP000005640_9606,2332,Protein
D3Z393,UP000005640_9606,2333,Protein
D3Z3C6,UP000005640_9606,2334,Protein
D3Z3H0,UP000005640_9606,2335,Protein
D3Z3I0,UP000005640_9606,2336,Protein
D3Z3K2,UP000005640_9606,2337,Protein
D3Z3L3,UP000005640_9606,2338,Protein
D3Z3Y1,UP000005640_9606,2339,Protein
D3Z420,UP000005640_9606,2340,Protein
D3Z423,UP000005640_9606,2341,Protein
D3Z430,UP000005640_9606,2342,Protein
D3Z445,UP000005640_9606,2343,Protein
D3Z447,UP000005640_9606,2344,Protein
D3Z450,UP000005640_9606,2345,Protein
D3Z451,UP000005640_9606,2346,Protein
D3Z497,UP000005640_9606,2347,Protein
D3Z4G5,UP000005640_9606,2348,Protein
D3Z4I3,UP000005640_9606,2349,Protein
D3Z4K0,UP000005640_9606,2350,Protein
D3Z4N8,UP000005640_9606,2351,Protein
D3Z4R1,UP000005640_9606,2352,Protein
D3Z4R4,UP000005640_9606,2353,Protein
D3Z4S3,UP000005640_9606,2354,Protein
D3Z4U6,UP000005640_9606,2355,Protein
D3Z4Z0,UP000005640_9606,2356,Protein
D3Z5D4,UP000005640_9606,2357,Protein
D3Z5G0,UP000005640_9606,2358,Protein
D3Z5G7,UP000005640_9606,2359,Protein
D3Z5L4,UP000005640_9606,2360,Protein
D3Z5L6,UP000005640_9606,2361,Protein
D3Z5L9,UP000005640_9606,2362,Protein
D3Z5S8,UP000005640_9606,2363,Protein
D3Z5T1,UP000005640_9606,2364,Protein
D3Z5T3,UP000005640_9606,2365,Protein
D3Z5T8,UP000005640_9606,2366,Protein
D3Z5V4,UP000005640_9606,2367,Protein
D3Z5W0,UP000005640_9606,2368,Protein
D3Z5X9,UP000005640_9606,2369,Protein
D3Z5Y8,UP000005640_9606,2370,Protein
D3Z622,UP000005640_9606,2371,Protein
D3Z623,UP000005640_9606,2372,Protein
D3Z649,UP000005640_9606,2373,Protein
D3Z660,UP000005640_9606,2374,Protein
D3Z689,UP000005640_9606,2375,Protein
D3Z690,UP000005640_9606,2376,Protein
D3Z6A3,UP000005640_9606,2377,Protein
D3Z6E3,UP000005640_9606,2378,Protein
D3Z6F0,UP000005640_9606,2379,Protein
D3Z6H8,UP000005640_9606,2380,Protein
D3Z6I1,UP000005640_9606,2381,Protein
D3Z6L3,UP000005640_9606,2382,Protein
D3Z6P0,UP000005640_9606,2383,Protein
D3Z6P9,UP000005640_9606,2384,Protein
D3Z6Q6,UP000005640_9606,2385,Protein
D3Z6Q9,UP000005640_9606,2386,Protein
D3Z6R1,UP000005640_9606,2387,Protein
D3Z6S9,UP000005640_9606,2388,Protein
D3Z6W3,UP000005640_9606,2389,Protein
D3Z714,UP000005640_9606,2390,Protein
D3Z741,UP000005640_9606,2391,Protein
D3Z748,UP000005640_9606,2392,Protein
D3Z750,UP000005640_9606,2393,Protein
D3Z752,UP000005640_9606,2394,Protein
D3Z757,UP000005640_9606,2395,Protein
D3Z7A4,UP000005640_9606,2396,Protein
D3Z7A5,UP000005640_9606,2397,Protein
D3Z7A8,UP000005640_9606,2398,Protein
D3Z7A9,UP000005640_9606,2399,Protein
D3Z7C4,UP000005640_9606,2400,Protein
D3Z7F6,UP000005640_9606,2401,Protein
D3Z7H4,UP000005640_9606,2402,Protein
D3Z7H8,UP000005640_9606,2403,Protein
D3Z7M3,UP000005640_9606,2404,Protein
D3Z7P3,UP000005640_9606,2405,Protein
D3Z7Q2,UP000005640_9606,2406,Protein
D3Z7X0,UP000005640_9606,2407,Protein
D4AFX7,UP000005640_9606,2408,Protein
D4PHA7,UP000005640_9606,2409,Protein
D4QGC2,UP000005640_9606,2410,Protein
D6MZJ6,UP000005640_9606,2411,Protein
D7PDD4,UP000005640_9606,2412,Protein
E0CXC6,UP000005640_9606,2413,Protein
E0CXF8,UP000005640_9606,2414,Protein
E0CXI6,UP000005640_9606,2415,Protein
E0CXP6,UP000005640_9606,2416,Protein
E0CXQ2,UP000005640_9606,2417,Protein
E0CXS8,UP000005640_9606,2418,Protein
E0CYC6,UP000005640_9606,2419,Protein
E0CYQ0,UP000005640_9606,2420,Protein
E0CYR6,UP000005640_9606,2421,Protein
E0CYV9,UP000005640_9606,2422,Protein
E0CZ16,UP000005640_9606,2423,Protein
E0CZ22,UP000005640_9606,2424,Protein
E0CZ26,UP000005640_9606,2425,Protein
E0CZ42,UP000005640_9606,2426,Protein
E0CZF1,UP000005640_9606,2427,Protein
E1AZ71,UP000005640_9606,2428,Protein
E1U8D0,UP000005640_9606,2429,Protein
E2JF22,UP000005640_9606,2430,Protein
E5D8G1,UP000005640_9606,2431,Protein
E5FYH1,UP000005640_9606,2432,Protein
E9PUA5,UP000005640_9606,2433,Protein
E9PUC1,UP000005640_9606,2434,Protein
E9PUD6,UP000005640_9606,2435,Protein
E9PUL3,UP000005640_9606,2436,Protein
E9PUL5,UP000005640_9606,2437,Protein
E9PUN6,UP000005640_9606,2438,Protein
E9PUN7,UP000005640_9606,2439,Protein
E9PUQ3,UP000005640_9606,2440,Protein
E9PUQ8,UP000005640_9606,2441,Protein
E9PUR0,UP000005640_9606,2442,Protein
E9PUS4,UP000005640_9606,2443,Protein
E9PUT0,UP000005640_9606,2444,Protein
E9PUT5,UP000005640_9606,2445,Protein
E9PUU5,UP000005640_9606,2446,Protein
E9PUW9,UP000005640_9606,2447,Protein
E9PUZ0,UP000005640_9606,2448,Protein
E9PUZ9,UP000005640_9606,2449,Protein
E9PV04,UP000005640_9606,2450,Protein
E9PV24,UP000005640_9606,2451,Protein
E9PV26,UP000005640_9606,2452,Protein
E9PV37,UP000005640_9606,2453,Protein
E9PV38,UP000005640_9606,2454,Protein
E9PV48,UP000005640_9606,2455,Protein
E9PV59,UP000005640_9606,2456,Protein
E9PV66,UP000005640_9606,2457,Protein
E9PV79,UP000005640_9606,2458,Protein
E9PV82,UP000005640_9606,2459,Protein
E9PV85,UP000005640_9606,2460,Protein
E9PV86,UP000005640_9606,2461,Protein
E9PV87,UP000005640_9606,2462,Protein
E9PV95,UP000005640_9606,2463,Protein
E9PV96,UP000005640_9606,2464,Protein
E9PV98,UP000005640_9606,2465,Protein
E9PVA0,UP000005640_9606,2466,Protein
E9PVA8,UP000005640_9606,2467,Protein
E9PVB3,UP000005640_9606,2468,Protein
E9PVB5,UP000005640_9606,2469,Protein
E9PVC2,UP000005640_9606,2470,Protein
E9PVD1,UP000005640_9606,2471,Protein
E9PVD3,UP000005640_9606,2472,Protein
E9PVD9,UP000005640_9606,2473,Protein
E9PVG0,UP000005640_9606,2474,Protein
E9PVG8,UP000005640_9606,2475,Protein
E9PVI0,UP000005640_9606,2476,Protein
E9PVJ7,UP000005640_9606,2477,Protein
E9PVL6,UP000005640_9606,2478,Protein
E9PVP9,UP000005640_9606,2479,Protein
E9PVR6,UP000005640_9606,2480,Protein
E9PVU2,UP000005640_9606,2481,Protein
E9PVW0,UP000005640_9606,2482,Protein
E9PVW1,UP000005640_9606,2483,Protein
E9PVW2,UP000005640_9606,2484,Protein
E9PVX6,UP000005640_9606,2485,Protein
E9PVZ2,UP000005640_9606,2486,Protein
E9PVZ3,UP000005640_9606,2487,Protein
E9PVZ7,UP000005640_9606,2488,Protein
E9PVZ8,UP000005640_9606,2489,Protein
E9PW05,UP000005640_9606,2490,Protein
E9PW10,UP000005640_9606,2491,Protein
E9PW18,UP000005640_9606,2492,Protein
E9PW21,UP000005640_9606,2493,Protein
E9PW37,UP000005640_9606,2494,Protein
E9PW52,UP000005640_9606,2495,Protein
E9PW59,UP000005640_9606,2496,Protein
E9PW61,UP000005640_9606,2497,Protein
E9PW74,UP000005640_9606,2498,Protein
E9PW83,UP000005640_9606,2499,Protein
E9PWA8,UP000005640_9606,2500,Protein
E9PWD5,UP000005640_9606,2501,Protein
E9PWG6,UP000005640_9606,2502,Protein
E9PWH2,UP000005640_9606,2503,Protein
E9PWH4,UP000005640_9606,2504,Protein
E9PWI5,UP000005640_9606,2505,Protein
E9PWJ7,UP000005640_9606,2506,Protein
E9PWJ8,UP000005640_9606,2507,Protein
